ndb_no	shrt_desc	energy_kcal	nutval
10864	PORK,BACON,RENDERED FAT,CKD	0.995565	-0.986316
4506	OIL,SUNFLOWER,LINOLEIC,(APPROX. 65%)	0.980044	-0.982473
4658	OIL,INDUSTRIAL,PALM KERNEL (HYDROGENATED),CONFECTION FAT	0.980044	-0.982361
13335	BEEF,VAR MEATS & BY-PRODUCTS,SUET,RAW	0.946785	-0.982219
4677	MARGARINE-LIKE SPRD,SMART BALANCE OMEGA PLUS SPRD	0.670732	-0.982095
4657	OIL,INDUSTRIAL,PALM KERNEL (HYDROGENATED),CONFECTION FAT	0.980044	-0.980645
10165	PORK,CURED,SALT PORK,RAW	0.829268	-0.972418
10004	PORK,FRESH,BACKFAT,RAW	0.900222	-0.972016
4502	OIL,CTTNSD,SALAD OR COOKING	0.980044	-0.967543
4684	MARGARINE,80% FAT,TUB,CANOLA HARVEST SOFT SPRD	0.809313	-0.966818
42137	SALAD DRSNG,PEPPERCORN DRSNG,COMM,REG	0.625277	-0.963884
4025	SALAD DRSNG,MAYO,SOYBN OIL,W/SALT	0.796009	-0.960476
1145	BUTTER,WITHOUT SALT	0.7949	-0.959978
4570	SHORTENING,CONFECTIONERY,FRACTIONATED PALM	0.980044	-0.957424
4511	OIL,SAFFLOWER,SALAD OR COOKING,HI OLEIC	0.980044	-0.955995
4037	OIL,RICE BRAN	0.980044	-0.952479
4610	MARGARINE,REG,80% FAT,COMP,STK,W/ SALT	0.7949	-0.946166
4060	OIL,SUNFLOWER,LINOLEIC (LESS THAN 60%)	0.980044	-0.945975
43015	SALAD DRSNG,CAESAR DRSNG,REG	0.600887	-0.938474
21314	MCDONALD'S,SPICY BUFFALO SAU	0.157428	-0.937512
4545	OIL,SUNFLOWER,LINOLEIC,(PARTIALLY HYDROGENATED)	0.980044	-0.936337
4026	SALAD DRSNG,MAYO,SOYBN&SAFFLOWER OIL,W/SALT	0.7949	-0.933879
42307	MARGARINE-LIKE,BUTTER-MARGARINE BLEND,80% FAT,STK,WO/ SALT	0.796009	-0.928412
4642	OIL,INDUSTRIAL,MID-OLEIC,SUNFLOWER	0.980044	-0.927391
4529	OIL,ALMOND	0.980044	-0.925859
4617	MARGARINE,REG,80% FAT,COMP,STK,WO/ SALT	0.7949	-0.92178
4534	OIL,BABASSU	0.980044	-0.917451
4584	OIL,SUNFLOWER,HI OLEIC (70% & OVER)	0.980044	-0.913957
35156	OIL,SPOTTED SEAL (ALASKA NATIVE)	0.991131	-0.905525
4539	SALAD DRSNG,BLUE OR ROQUEFORT CHS DRSNG,COMM,REG	0.527716	-0.896329
4611	MARGARINE,REG,80% FAT,COMP,TUB,W/ SALT	0.790466	-0.888415
4626	MARGARINE-LIKE SPRD W/ YOGURT,70% FAT,STK,W/ SALT	0.698448	-0.880323
4701	OIL,INDUSTRIAL,SOY,FULLY HYDR	0.980044	-0.878886
42140	SALAD DRSNG,ITALIAN DRSNG,RED CAL	0.221729	-0.872152
4618	MARGARINE,REG,80% FAT,COMP,TUB,WO/ SALT	0.790466	-0.870881
4016	SALAD DRSNG,SESAME SD DRSNG,REG	0.491131	-0.868176
4532	OIL,HAZELNUT	0.980044	-0.867451
42151	VEGETABLE OIL-BUTTER SPRD,RED CAL	0.515521	-0.863296
4612	MARGARINE-LIKE,VEG OIL SPRD,60% FAT,STK,W/ SALT	0.595344	-0.858549
4614	MARGARINE-LIKE,VEG OIL SPRD,60% FAT,STICK/TUB/BOTTLE,W/ SALT	0.583149	-0.852182
4585	MARGARINE-LIKE,MARGARINE-BUTTER BLEND,SOYBN OIL & BUTTER	0.791574	-0.850483
4673	MARGARINE-LIKE SPRD,SMART BALANCE REG BUTTERY SPRD	0.646341	-0.850182
42138	MAYONNAISE,RED-CAL OR DIET,CHOL-FREE	0.36918	-0.850128
5047	CHICKEN,BROILERS OR FRYERS,FAT,RAW	0.697339	-0.846031
4691	MARGARINE,REG,80% FAT,COMP,STK,W/ SALT,W/ ADDED VITAMIN D	0.7949	-0.838279
4665	MARGARINE,INDUS,NON-DAIRY,CTTNSD,SOY OIL (PART HYDR )	0.791574	-0.837498
6475	SOUP,BF BROTH OR BOUILLON,PDR,PREP W/H2O	0.00332594	-0.832774
6476	SOUP,BF BROTH,CUBED,PREP W/H2O	0.00332594	-0.832774
4602	BUTTER,LT,STK,WO/SALT	0.553215	-0.822707
10166	PORK,CURED,FAT (FROM HAM&ARM PICNIC),UNHTD	0.641907	-0.822312
4601	BUTTER,LT,STK,W/SALT	0.564302	-0.814705
4696	MARGARINE,REG,80% FAT,COMP,STK,WO/ SALT,W/ ADDED VITAMIN D	0.7949	-0.813967
13319	BEEF,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,PAN-FRIED	0.217295	-0.811675
42309	MARGARINE-LIKE,VEG OIL-BUTTER SPRD,RED CAL,TUB,W/ SALT	0.498891	-0.80257
35014	OIL,BELUGA,WHALE (ALASKA NATIVE)	0.997783	-0.800617
4641	SALAD DRSNG,MAYO,LT	0.359202	-0.798638
17284	LAMB,AUS,IMP,FRSH,FAT,RAW	0.718404	-0.792731
6075	SOUP,BF BROTH OR BOUILLON,PDR,DRY	0.263858	-0.791219
17092	VEAL,COMP OF RTL CUTS,FAT,RAW	0.707317	-0.788807
4675	MARGARINE-LIKE SPRD,SMART BEAT SUPER LT WO/ SATURATED FAT	0.175166	-0.785828
4692	MARGARINE,REG,80% FAT,COMP,TUB,W/ SALT,W/ ADDED VITAMIN D	0.790466	-0.779922
10105	PORK,FRSH,VAR MEATS&BY-PRODUCTS,JOWL,RAW	0.726164	-0.75765
10167	PORK,CURED,FAT (FROM HAM&ARM PICNIC),RSTD	0.655211	-0.753826
4531	OIL,SOYBN LECITHIN	0.845898	-0.751147
4600	MARGARINE-LIKE,VEG OIL-BUTTER SPRD,TUB,W/ SALT	0.40133	-0.750877
43017	SALAD DRSNG,GRN GODDESS,REG	0.473392	-0.722442
4029	SALAD DRSNG,MAYO,IMITN,SOYBN WO/CHOL	0.534368	-0.718589
4693	VEG OIL SPRD,60% FAT,STK,W/ SALT,W/ ADDED VITAMIN D	0.595344	-0.717329
4021	SALAD DRSNG,ITALIAN DRSNG,RED FAT	0.0831486	-0.715658
13019	BEEF,RTL CUTS,FAT,RAW	0.747228	-0.713784
